contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
hobo,NBA,374-301-11,New York @ Toronto,New York,Toronto,Total (Over),Over 231.5,Over,231.5,+500
vladislav1968,NBA,310-247-10,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -3.5,IND,-3.5,+500
vladislav1968,NBA,310-247-10,Sacramento @ Indiana,Sacramento,Indiana,Total (Under),Under 234.0,Under,234.0,+500
vladislav1968,NBA,310-247-10,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
vladislav1968,NBA,310-247-10,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Under),Under 227.0,Under,227.0,+500
vladislav1968,NBA,310-247-10,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),NO +9.5,NO,+9.5,+500
vladislav1968,NBA,310-247-10,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 236.5,Under,236.5,+500
Geo Lazos,NBA,306-249-7,Miami @ Orlando,Miami,Orlando,Spread (ATS),MIA +5.5,MIA,+5.5,+500
Geo Lazos,NBA,306-249-7,Miami @ Orlando,Miami,Orlando,Total (Under),Under 238.5,Under,238.5,+500
Geo Lazos,NBA,306-249-7,New York @ Toronto,New York,Toronto,Spread (ATS),NY -2.5,NY,-2.5,+500
Geo Lazos,NBA,306-249-7,New York @ Toronto,New York,Toronto,Total (Over),Over 231.5,Over,231.5,+500
aerison12,NBA,357-296-8,Miami @ Orlando,Miami,Orlando,Spread (ATS),MIA +5.5,MIA,+5.5,+500
aerison12,NBA,357-296-8,Miami @ Orlando,Miami,Orlando,Total (Over),Over 238.5,Over,238.5,+500
aerison12,NBA,357-296-8,New York @ Toronto,New York,Toronto,Spread (ATS),NY -2.5,NY,-2.5,+500
aerison12,NBA,357-296-8,New York @ Toronto,New York,Toronto,Total (Over),Over 231.5,Over,231.5,+500
JFT1010,NBA,359-298-14,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -3.5,IND,-3.5,+500
JFT1010,NBA,359-298-14,Sacramento @ Indiana,Sacramento,Indiana,Total (Over),Over 233.5,Over,233.5,+500
JFT1010,NBA,359-298-14,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
JFT1010,NBA,359-298-14,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Over),Over 227.5,Over,227.5,+500
JFT1010,NBA,359-298-14,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),NO +9.5,NO,+9.5,+500
JFT1010,NBA,359-298-14,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 237.5,Under,237.5,+500
venezolanisimo,NBA,127-90-7,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -4.0,IND,-4.0,+500
venezolanisimo,NBA,127-90-7,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Over),Over 226.5,Over,226.5,+500
venezolanisimo,NBA,127-90-7,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),NO +10.0,NO,+10.0,+500
salmag3,NBA,185-143-9,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -4.0,IND,-4.0,+500
salmag3,NBA,185-143-9,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +10.0,PHO,+10.0,+500
salmag3,NBA,185-143-9,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Over),Over 236.5,Over,236.5,+500
ILOVENFLF2008,NBA,67-38-1,San Antonio @ New Orleans,San Antonio,New Orleans,Total (Under),Under 237.0,Under,237.0,+500
leafs126,NBA,187-150-5,Sacramento @ Indiana,Sacramento,Indiana,Spread (ATS),IND -3.5,IND,-3.5,+500
leafs126,NBA,187-150-5,Phoenix @ Minnesota,Phoenix,Minnesota,Spread (ATS),PHO +9.5,PHO,+9.5,+500
leafs126,NBA,187-150-5,Phoenix @ Minnesota,Phoenix,Minnesota,Total (Over),Over 227.0,Over,227.0,+500
leafs126,NBA,187-150-5,San Antonio @ New Orleans,San Antonio,New Orleans,Spread (ATS),NO +9.5,NO,+9.5,+500
