contestant,sport,record,matchup,away_team,home_team,pick_type,pick_text,team,line,units_wagered
bear1313,NHL,221-174-11,Minnesota @ Seattle,Minnesota,Seattle,Total (Over),Over 5.5,Over,5.5,+500
bear1313,NHL,221-174-11,Detroit @ Vancouver,Detroit,Vancouver,Total (Over),Over 6.0,Over,6.0,+500
brandydump1,NHL,318-290-22,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TOR -110,TOR,-110,+500
brandydump1,NHL,318-290-22,Tampa Bay @ Toronto,Tampa Bay,Toronto,Total (Under),Under 6.0,Under,6.0,+500
brandydump1,NHL,318-290-22,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),BUF +100,BUF,+100,+500
brandydump1,NHL,318-290-22,Buffalo @ Calgary,Buffalo,Calgary,Total (Under),Under 6.0,Under,6.0,+500
brandydump1,NHL,318-290-22,Los Angeles @ Utah,Los Angeles,Utah,Spread (ATS),UTAH -110,UTAH,-110,+500
brandydump1,NHL,318-290-22,Los Angeles @ Utah,Los Angeles,Utah,Total (Over),Over 5.5,Over,5.5,+500
brandydump1,NHL,318-290-22,Minnesota @ Seattle,Minnesota,Seattle,Total (Over),Over 5.5,Over,5.5,+500
brandydump1,NHL,318-290-22,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),VAN +105,VAN,+105,+500
brandydump1,NHL,318-290-22,Detroit @ Vancouver,Detroit,Vancouver,Total (Under),Under 6.0,Under,6.0,+500
Genghis518,NHL,267-265-9,Tampa Bay @ Toronto,Tampa Bay,Toronto,Total (Over),Over 6.0,Over,6.0,+500
Genghis518,NHL,267-265-9,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),BUF +100,BUF,+100,+500
Genghis518,NHL,267-265-9,Buffalo @ Calgary,Buffalo,Calgary,Total (Over),Over 6.0,Over,6.0,+500
Genghis518,NHL,267-265-9,Los Angeles @ Utah,Los Angeles,Utah,Total (Over),Over 5.5,Over,5.5,+500
Genghis518,NHL,267-265-9,Detroit @ Vancouver,Detroit,Vancouver,Spread (ATS),VAN +105,VAN,+105,+500
Genghis518,NHL,267-265-9,Detroit @ Vancouver,Detroit,Vancouver,Total (Over),Over 6.0,Over,6.0,+500
TeddyDahlberg,NHL,327-341-4,Tampa Bay @ Toronto,Tampa Bay,Toronto,Spread (ATS),TOR -110,TOR,-110,+500
TeddyDahlberg,NHL,327-341-4,Buffalo @ Calgary,Buffalo,Calgary,Spread (ATS),BUF +100,BUF,+100,+500
